# Smurf data generated: 2020-12-03_14:47:44

year,total_articles,spanske syge
1750,2330,0
1751,3495,1
1752,4104,0
1753,5256,2
1754,5079,0
1755,5360,1
1756,5389,1
1757,5671,0
1758,5435,0
1759,8721,1
1760,9839,1
1761,10670,1
1762,9933,5
1763,12167,0
1764,13140,0
1765,13052,1
1766,12771,1
1767,16015,0
1768,12178,5
1769,14828,2
1770,16697,1
1771,17203,0
1772,15550,0
1773,20718,1
1774,21246,1
1775,22122,3
1776,21783,1
1777,22870,0
1778,21627,0
1779,20012,5
1780,20449,6
1781,19947,3
1782,20370,7
1783,19765,0
1784,21024,0
1785,21263,1
1786,22505,1
1787,22623,1
1788,23479,0
1789,26752,2
1790,27384,0
1791,27564,0
1792,31187,2
1793,27566,2
1794,27866,4
1795,29733,1
1796,29501,2
1797,34804,2
1798,38654,3
1799,36042,5
1800,41106,4
1801,40159,2
1802,44762,1
1803,48330,9
1804,54202,5
1805,52922,19
1806,56117,5
1807,54383,5
1808,56836,8
1809,55020,19
1810,61219,7
1811,64804,8
1812,62188,13
1813,57351,5
1814,56242,3
1815,61471,3
1816,68480,5
1817,71444,8
1818,73217,4
1819,72636,9
1820,74386,13
1821,72641,16
1822,69551,5
1823,70795,34
1824,72598,16
1825,72513,15
1826,75489,14
1827,72464,12
1828,77040,12
1829,83234,7
1830,87142,11
1831,92587,13
1832,95859,12
1833,94561,9
1834,95392,9
1835,100776,9
1836,107913,11
1837,101883,20
1838,102325,4
1839,97931,3
1840,111141,10
1841,114295,9
1842,134953,10
1843,121856,13
1844,111087,6
1845,142445,6
1846,149953,9
1847,160082,16
1848,160119,6
1849,166075,15
1850,172939,13
1851,199217,9
1852,226865,7
1853,224897,25
1854,237286,15
1855,253060,15
1856,270437,13
1857,292611,16
1858,319745,14
1859,317357,11
1860,321263,14
1861,343568,12
1862,355256,20
1863,379298,15
1864,360761,22
1865,398158,32
1866,440161,17
1867,480894,18
1868,527714,36
1869,562188,38
1870,554975,61
1871,592300,22
1872,676947,42
1873,730898,83
1874,830222,86
1875,875081,82
1876,937750,64
1877,991594,36
1878,1055554,42
1879,1105136,64
1880,1168754,41
1881,1134664,43
1882,1254368,52
1883,1384438,153
1884,1463039,168
1885,1478375,121
1886,1489328,71
1887,1534135,55
1888,1556697,42
1889,1698419,58
1890,1778578,104
1891,1811142,70
1892,1904110,146
1893,1940234,118
1894,1953033,119
1895,1995500,144
1896,2035689,154
1897,2121180,181
1898,2233017,562
1899,2288244,113
1900,2318834,58
1901,2297855,67
1902,2361371,106
1903,2486273,84
1904,2606659,90
1905,2678359,88
1906,2674145,66
1907,2672090,68
1908,2708499,63
1909,2738069,89
1910,2707536,89
1911,2853709,114
1912,2860741,59
1913,2941533,75
1914,3004588,41
1915,3152745,31
1916,3447262,42
1917,3354131,40
1918,3523403,11077
1919,3751253,4118
1920,3407236,3587
1921,3287682,411
1922,3404786,1170
1923,3610424,375
1924,3770431,343
1925,3757106,280
1926,3788988,337
1927,3915771,467
1928,4046182,300
1929,4199916,281
1930,4353215,284
1931,4281034,297
1932,4223684,200
1933,4240363,280
1934,4511679,230
1935,4745456,141
1936,4851281,411
1937,4806883,491
1938,4913238,484
1939,4869543,383
1940,4369250,218
1941,4533277,310
1942,4519039,321
1943,4423759,736
1944,4023953,411
1945,3673326,217
1946,4153276,218
1947,3726545,205
1948,3762027,219
1949,4290714,362
1950,4380895,268
1951,4100547,273
1952,4262119,269
1953,4553504,268
1954,4863994,256
1955,4899068,250
1956,4745172,186
1957,4925108,472
1958,4868490,282
1959,5178983,249
1960,5336471,243
1961,5356646,222
1962,5541489,217
1963,5627133,211
1964,5876691,203
1965,6193752,314
1966,6236602,270
1967,6260405,263
1968,6057371,442
1969,6101193,325
1970,6051094,240
1971,5854077,202
1972,5579678,200
1973,5529492,214
1974,5330192,137
1975,5064624,285
1976,5818983,509
1977,5427553,274
1978,5988594,211
1979,6001413,244
1980,5897750,268
1981,4453297,175
1982,5518498,185
1983,5650005,219
1984,5973644,310
1985,6114932,188
1986,6681117,236
1987,6747129,230
1988,6748730,257
1989,6543461,140
1990,6673199,138
1991,6533670,246
1992,6455891,209
1993,6260815,182
1994,6620597,192
1995,6650039,194
1996,6587676,205
1997,6769356,236
1998,6780927,236
1999,7039574,260
2000,6604325,305
2001,6122600,113
2002,5783083,219
2003,5519910,358
2004,5298283,232
2005,5054875,230
2006,5246328,251
2007,4438870,91
2008,1839580,56
2009,939028,41
2010,170673,5
2011,160757,3
2012,212761,5
2013,98701,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
